id	text	cat
286	O, let my books be then the eloquence	s
287	And dumb presagers of my speaking breast,	s
288	More than that tongue that more hath more express'd.	s
289	O, learn to read what silent love hath writ:	s
290	When I break twenty? I am perjured most;	s
291	Mine eye hath play'd the painter and hath stell'd	s
292	Thy beauty's form in table of my heart;	s
293	My body is the frame wherein 'tis held,	s
294	And perspective it is the painter's art.	s
295	For through the painter must you see his skill,	s
296	To find where your true image pictured lies;	s
297	Which in my bosom's shop is hanging still,	s
298	But, love, hate on, for now I know thy mind;	s
299	Past cure I am, now reason is past care,	s
300	Mine eyes have drawn thy shape, and thine for me	s
301	Delights to peep, to gaze therein on thee;	s
302	Yet eyes this cunning want to grace their art;	s
303	They draw but what they see, know not the heart.	s
304	Let those who are in favour with their stars	s
305	Of public honour and proud titles boast,	s
306	Whilst I, whom fortune of such triumph bars,	s
307	Unlook'd for joy in that I honour most.	s
308	Great princes' favourites their fair leaves spread	s
309	But as the marigold at the sun's eye,	s
310	And in themselves their pride lies buried,	s
311	The painful warrior famoused for fight,	s
312	Is from the book of honour razed quite,	s
313	And all the rest forgot for which he toil'd:	s
314	Then happy I, that love and am beloved	s
315	Where I may not remove nor be removed.	s
316	Lord of my love, to whom in vassalage	s
317	Thy merit hath my duty strongly knit,	s
318	To witness duty, not to show my wit:	s
319	Duty so great, which wit so poor as mine	s
320	May make seem bare, in wanting words to show it,	s
321	But that I hope some good conceit of thine	s
322	In thy soul's thought, all naked, will bestow it;	s
323	Till whatsoever star that guides my moving	s
324	Points on me graciously with fair aspect	s
325	And puts apparel on my tatter'd loving,	s
326	To show me worthy of thy sweet respect:	s
327	Then may I dare to boast how I do love thee;	s
328	Till then not show my head where thou mayst prove me.	s
329	Weary with toil, I haste me to my bed,	s
330	The dear repose for limbs with travel tired;	s
331	But then begins a journey in my head,	s
332	To work my mind, when body's work's expired:	s
333	For then my thoughts, from far where I abide,	s
334	And keep my drooping eyelids open wide,	s
335	Looking on darkness which the blind do see	s
336	Save that my soul's imaginary sight	s
337	Presents thy shadow to my sightless view,	s
338	Which, like a jewel hung in ghastly night,	s
339	Makes black night beauteous and her old face new.	s
340	Lo! thus, by day my limbs, by night my mind,	s
341	For thee and for myself no quiet find.	s
342	And thither hied, a sad distemper'd guest,	s
343	That am debarr'd the benefit of rest?	s
344	But found no cure: the bath for my help lies	s
345	But day by night, and night by day, oppress'd?	s
346	Do in consent shake hands to torture me;	s
347	The one by toil, the other to complain	s
348	How far I toil, still farther off from thee.	s
349	I tell the day, to please them thou art bright	s
350	Till my bad angel fire my good one out.	s
351	So flatter I the swart-complexion'd night,	s
352	When sparkling stars twire not thou gild'st the even.	s
353	Then, beauteous niggard, why dost thou abuse	s
354	And night doth nightly make grief's strength	s
355	When, in disgrace with fortune and men's eyes,	s
356	I all alone beweep my outcast state	s
357	And look upon myself and curse my fate,	s
358	Wishing me like to one more rich in hope,	s
359	Featured like him, like him with friends possess'd,	s
360	Desiring this man's art and that man's scope,	s
361	With what I most enjoy contented least;	s
362	Haply I think on thee, and then my state,	s
363	Like to the lark at break of day arising	s
364	That then I scorn to change my state with kings.	s
365	When to the sessions of sweet silent thought	s
366	I summon up remembrance of things past,	s
367	I sigh the lack of many a thing I sought,	s
368	And with old woes new wail my dear time's waste:	s
369	For precious friends hid in death's dateless night,	s
370	And weep afresh love's long since cancell'd woe,	s
371	And moan the expense of many a vanish'd sight:	s
372	Then can I grieve at grievances foregone,	s
373	And heavily from woe to woe tell o'er	s
374	The sad account of fore-bemoaned moan,	s
375	O me, what eyes hath Love put in my head,	s
376	All losses are restored and sorrows end.	s
377	Are windows to my breast, where-through the sun	s
378	And there reigns love and all love's loving parts,	s
379	And all those friends which I thought buried.	s
380	How many a holy and obsequious tear	s
381	Hath dear religious love stol'n from mine eye	s
382	As interest of the dead, which now appear	s
383	But things removed that hidden in thee lie!	s
384	Thou art the grave where buried love doth live,	s
385	Who all their parts of me to thee did give;	s
386	Then, gentle cheater, urge not my amiss,	s
387	Their images I loved I view in thee,	s
388	And thou, all they, hast all the all of me.	s
389	If thou survive my well-contented day,	s
390	When that churl Death my bones with dust shall cover,	s
391	And shalt by fortune once more re-survey	s
392	These poor rude lines of thy deceased lover,	s
393	Compare them with the bettering of the time,	s
394	And though they be outstripp'd by every pen,	s
395	Reserve them for my love, not for their rhyme,	s
396	Exceeded by the height of happier men.	s
397	O, then vouchsafe me but this loving thought:	s
398	'Had my friend's Muse grown with this growing age,	s
399	A dearer birth than this his love had brought,	s
400	To march in ranks of better equipage:	s
401	How much more praise deserved thy beauty's use,	s
402	Theirs for their style I'll read, his for his love.'	s
403	Full many a glorious morning have I seen	s
404	Flatter the mountain-tops with sovereign eye,	s
405	Kissing with golden face the meadows green,	s
406	Gilding pale streams with heavenly alchemy;	s
407	Anon permit the basest clouds to ride	s
408	And from the forlorn world his visage hide,	s
409	Stealing unseen to west with this disgrace:	s
410	Thy bosom is endeared with all hearts,	s
411	But out, alack! he was but one hour mine;	s
412	The region cloud hath mask'd him from me now.	s
413	Yet him for this my love no whit disdaineth;	s
414	Revenge upon myself with present moan?	s
415	Why didst thou promise such a beauteous day,	s
416	And make me travel forth without my cloak,	s
417	To let base clouds o'ertake me in my way,	s
418	Hiding thy bravery in their rotten smoke?	s
419	'Tis not enough that through the cloud thou break,	s
420	To dry the rain on my storm-beaten face,	s
421	For no man well of such a salve can speak	s
422	The fairest votary took up that fire	s
423	Though thou repent, yet I have still the loss:	s
424	The offender's sorrow lends but weak relief	s
425	To him that bears the strong offence's cross.	s
426	Ah! but those tears are pearl which thy love sheds,	s
427	And they are rich and ransom all ill deeds.	s
428	Roses have thorns, and silver fountains mud;	s
429	All men make faults, and even I in this,	s
430	Authorizing thy trespass with compare,	s
431	Excusing thy sins more than thy sins are;	s
432	Where Cupid got new fire--my mistress' eyes.	s
433	Thy adverse party is thy advocate--	s
434	And 'gainst myself a lawful plea commence:	s
435	Such civil war is in my love and hate	s
436	That I an accessary needs must be	s
437	Desire is death, which physic did except.	s
438	For thy sweet love remember'd such wealth brings	s
439	So shall those blots that do with me remain	s
440	Without thy help by me be borne alone.	s
441	In our two loves there is but one respect,	s
442	Though in our lives a separable spite,	s
443	Which though it alter not love's sole effect,	s
444	Yet doth it steal sweet hours from love's delight.	s
445	Lest my bewailed guilt should do thee shame,	s
446	Nor thou with public kindness honour me,	s
447	Unless thou take that honour from thy name:	s
448	And whether that my angel be turn'd fiend	s
449	As, thou being mine, mine is thy good report.	s
450	As a decrepit father takes delight	s
451	So I, made lame by fortune's dearest spite,	s
452	Take all my comfort of thy worth and truth.	s
453	Or any of these all, or all, or more,	s
454	Entitled in thy parts do crowned sit,	s
455	I make my love engrafted to this store:	s
456	So then I am not lame, poor, nor despised,	s
457	Whilst that this shadow doth such substance give	s
458	That I in thy abundance am sufficed	s
459	And by a part of all thy glory live.	s
460	When I against myself with thee partake?	s
461	This wish I have; then ten times happy me!	s
462	How can my Muse want subject to invent,	s
463	While thou dost breathe, that pour'st into my verse	s
464	Thine own sweet argument, too excellent	s
465	For every vulgar paper to rehearse?	s
466	O, give thyself the thanks, if aught in me	s
467	Worthy perusal stand against thy sight;	s
468	For who's so dumb that cannot write to thee,	s
469	When thou thyself dost give invention light?	s
470	Be thou the tenth Muse, ten times more in worth	s
471	Than those old nine which rhymers invocate;	s
472	And he that calls on thee, let him bring forth	s
473	Eternal numbers to outlive long date.	s
474	If my slight Muse do please these curious days,	s
475	O, how thy worth with manners may I sing,	s
476	When thou art all the better part of me?	s
477	What can mine own praise to mine own self bring?	s
478	And what is 't but mine own when I praise thee?	s
479	Even for this let us divided live,	s
480	And our dear love lose name of single one,	s
481	That by this separation I may give	s
482	That due to thee which thou deservest alone.	s
483	O absence, what a torment wouldst thou prove,	s
484	Were it not thy sour leisure gave sweet leave	s
485	O, though I love what others do abhor,	s
486	And that thou teachest how to make one twain,	s
487	By praising him here who doth hence remain!	s
488	When all my best doth worship thy defect,	s
489	What hast thou then more than thou hadst before?	s
490	To be death's conquest and make worms thine heir.	s
491	Why dost thou pine within and suffer dearth,	s
492	Then if for my love thou my love receivest,	s
493	I cannot blame thee for my love thou usest;	s
494	But yet be blamed, if thou thyself deceivest	s
495	By wilful taste of what thyself refusest.	s
496	I do forgive thy robbery, gentle thief,	s
497	Although thou steal thee all my poverty;	s
498	And yet, love knows, it is a greater grief	s
499	To bear love's wrong than hate's known injury.	s
500	Lascivious grace, in whom all ill well shows,	s
501	Those petty wrongs that liberty commits,	s
502	When I am sometime absent from thy heart,	s
503	Thy beauty and thy years full well befits,	s
504	For still temptation follows where thou art.	s
505	Gentle thou art and therefore to be won,	s
506	Beauteous thou art, therefore to be assailed;	s
507	And when a woman woos, what woman's son	s
508	Will sourly leave her till she have prevailed?	s
509	Ay me! but yet thou mightest my seat forbear,	s
510	And chide thy beauty and thy straying youth,	s
511	Who lead thee in their riot even there	s
512	Or made them swear against the thing they see;	s
513	Hers by thy beauty tempting her to thee,	s
514	That thou hast her, it is not all my grief,	s
515	And yet it may be said I loved her dearly;	s
516	A loss in love that touches me more nearly.	s
517	Loving offenders, thus I will excuse ye:	s
518	Within be fed, without be rich no more:	s
519	And for my sake even so doth she abuse me,	s
520	Suffering my friend for my sake to approve her.	s
521	If I lose thee, my loss is my love's gain,	s
522	And losing her, my friend hath found that loss;	s
523	Both find each other, and I lose both twain,	s
524	And both for my sake lay on me this cross:	s
525	But here's the joy; my friend and I are one;	s
526	Sweet flattery! then she loves but me alone.	s
527	When most I wink, then do mine eyes best see,	s
528	But when I sleep, in dreams they look on thee,	s
529	And darkly bright are bright in dark directed.	s
530	I guess one angel in another's hell:	s
531	To the clear day with thy much clearer light,	s
532	By looking on thee in the living day,	s
533	When in dead night thy fair imperfect shade	s
534	Through heavy sleep on sightless eyes doth stay!	s
535	All days are nights to see till I see thee,	s
536	And nights bright days when dreams do show thee me.	s
537	If the dull substance of my flesh were thought,	s
538	Injurious distance should not stop my way;	s
539	For then despite of space I would be brought,	s
540	Oaths of thy love, thy truth, thy constancy,	s
541	Upon the farthest earth removed from thee;	s
542	For nimble thought can jump both sea and land	s
543	As soon as think the place where he would be.	s
544	To leap large lengths of miles when thou art gone,	s
545	But that so much of earth and water wrought	s
546	A maid of Dian's this advantage found,	s
547	Receiving nought by elements so slow	s
548	But heavy tears, badges of either's woe.	s
549	The other two, slight air and purging fire,	s
550	Are both with thee, wherever I abide;	s
551	The first my thought, the other my desire,	s
552	These present-absent with swift motion slide.	s
553	Am of myself, all tyrant, for thy sake?	s
554	In tender embassy of love to thee,	s
555	My life, being made of four, with two alone	s
556	Until life's composition be recured	s
557	By those swift messengers return'd from thee,	s
558	Who even but now come back again, assured	s
559	Of thy fair health, recounting it to me:	s
560	This told, I joy; but then no longer glad,	s
561	I send them back again and straight grow sad.	s
562	Mine eye and heart are at a mortal war	s
563	How to divide the conquest of thy sight;	s
564	Mine eye my heart thy picture's sight would bar,	s
565	My heart mine eye the freedom of that right.	s
566	My heart doth plead that thou in him dost lie--	s
567	A closet never pierced with crystal eyes--	s
568	But the defendant doth that plea deny	s
569	And says in him thy fair appearance lies.	s
570	To 'cide this title is impanneled	s
571	The clear eye's moiety and the dear heart's part:	s
572	As thus; mine eye's due is thy outward part,	s
573	And my heart's right thy inward love of heart.	s
574	Betwixt mine eye and heart a league is took,	s
575	And each doth good turns now unto the other:	s
576	When that mine eye is famish'd for a look,	s
577	Or heart in love with sighs himself doth smother,	s
578	With my love's picture then my eye doth feast	s
579	And to the painted banquet bids my heart;	s
580	Another time mine eye is my heart's guest	s
581	And in his thoughts of love doth share a part:	s
582	So, either by thy picture or my love,	s
583	For thou not farther than my thoughts canst move,	s
584	And I am still with them and they with thee;	s
585	Or, if they sleep, thy picture in my sight	s
586	Shall worms, inheritors of this excess,	s
587	How careful was I, when I took my way,	s
588	Each trifle under truest bars to thrust,	s
589	That to my use it might unused stay	s
590	From hands of falsehood, in sure wards of trust!	s
591	But thou, to whom my jewels trifles are,	s
592	Most worthy of comfort, now my greatest grief,	s
593	Thou, best of dearest and mine only care,	s
594	Painting thy outward walls so costly gay?	s
595	Thee have I not lock'd up in any chest,	s
596	Save where thou art not, though I feel thou art,	s
597	In a cold valley-fountain of that ground;	s
598	From whence at pleasure thou mayst come and part;	s
599	And even thence thou wilt be stol'n, I fear,	s
600	For truth proves thievish for a prize so dear.	s
601	Against that time, if ever that time come,	s
602	When I shall see thee frown on my defects,	s
603	When as thy love hath cast his utmost sum,	s
604	Call'd to that audit by advised respects;	s
605	A dateless lively heat, still to endure,	s
606	Against strange maladies a sovereign cure.	s
607	Angry that his prescriptions are not kept,	s
608	Shall reasons find of settled gravity,--	s
609	Against that time do I ensconce me here	s
610	Within the knowledge of mine own desert,	s
611	And this my hand against myself uprear,	s
612	To guard the lawful reasons on thy part:	s
613	To leave poor me thou hast the strength of laws,	s
614	Since why to love I can allege no cause.	s
615	How heavy do I journey on the way,	s
616	When what I seek, my weary travel's end,	s
617	Doth teach that ease and that repose to say	s
618	Why so large cost, having so short a lease,	s
619	The beast that bears me, tired with my woe,	s
620	Plods dully on, to bear that weight in me,	s
621	As if by some instinct the wretch did know	s
622	His rider loved not speed, being made from thee:	s
623	The bloody spur cannot provoke him on	s
624	That sometimes anger thrusts into his hide;	s
625	Which heavily he answers with a groan,	s
626	More sharp to me than spurring to his side;	s
627	For that same groan doth put this in my mind;	s
628	My grief lies onward and my joy behind.	s
629	Thus can my love excuse the slow offence	s
630	Of my dull bearer when from thee I speed:	s
631	From where thou art why should I haste me thence?	s
632	Till I return, of posting is no need.	s
633	O, what excuse will my poor beast then find,	s
634	When swift extremity can seem but slow?	s
635	Then should I spur, though mounted on the wind;	s
636	In winged speed no motion shall I know:	s
637	Shall neigh--no dull flesh--in his fiery race;	s
638	But love, for love, thus shall excuse my jade;	s
639	Since from thee going he went wilful-slow,	s
640	Can bring him to his sweet up-locked treasure,	s
641	The which he will not every hour survey,	s
642	For blunting the fine point of seldom pleasure.	s
643	Therefore are feasts so solemn and so rare,	s
644	Since, seldom coming, in the long year set,	s
645	Like stones of worth they thinly placed are,	s
646	Or captain jewels in the carcanet.	s
647	So is the time that keeps you as my chest,	s
648	Or as the wardrobe which the robe doth hide,	s
649	To make some special instant special blest,	s
650	By new unfolding his imprison'd pride.	s
651	Blessed are you, whose worthiness gives scope,	s
652	What is your substance, whereof are you made,	s
653	That millions of strange shadows on you tend?	s
654	Since every one hath, every one, one shade,	s
655	Feeding on that which doth preserve the ill,	s
656	Describe Adonis, and the counterfeit	s
657	Is poorly imitated after you;	s
658	On Helen's cheek all art of beauty set,	s
659	And you in Grecian tires are painted new:	s
660	Speak of the spring and foison of the year;	s
661	The one doth shadow of your beauty show,	s
662	The other as your bounty doth appear;	s
663	And you in every blessed shape we know.	s
664	In all external grace you have some part,	s
665	But you like none, none you, for constant heart.	s
666	O, how much more doth beauty beauteous seem	s
667	By that sweet ornament which truth doth give!	s
668	The rose looks fair, but fairer we it deem	s
669	For that sweet odour which doth in it live.	s
670	The canker-blooms have full as deep a dye	s
671	If it be not, then love doth well denote	s
672	Hang on such thorns and play as wantonly	s
673	When summer's breath their masked buds discloses:	s
674	But, for their virtue only is their show,	s
675	My thoughts and my discourse as madmen's are,	s
676	Die to themselves. Sweet roses do not so;	s
677	Of their sweet deaths are sweetest odours made:	s
678	And so of you, beauteous and lovely youth,	s
679	When that shall fade, my verse distills your truth.	s
680	Not marble, nor the gilded monuments	s
681	Of princes, shall outlive this powerful rhyme;	s
682	Than unswept stone besmear'd with sluttish time.	s
683	When wasteful war shall statues overturn,	s
684	And broils root out the work of masonry,	s
685	Nor Mars his sword nor war's quick fire shall burn	s
686	The living record of your memory.	s
687	'Gainst death and all-oblivious enmity	s
688	Shall you pace forth; your praise shall still find room	s
689	Even in the eyes of all posterity	s
690	Wooing his purity with her foul pride.	s
691	So, till the judgment that yourself arise,	s
692	You live in this, and dwell in lover's eyes.	s
693	Sweet love, renew thy force; be it not said	s
694	Thy edge should blunter be than appetite,	s
695	Which but to-day by feeding is allay'd,	s
696	To-morrow sharpen'd in his former might:	s
697	Thy hungry eyes even till they wink with fullness,	s
698	To-morrow see again, and do not kill	s
699	The spirit of love with a perpetual dullness.	s
700	Let this sad interim like the ocean be	s
701	Which parts the shore, where two contracted new	s
